id,female,region,academic_qual,dob,age,numchild
1,1,london,None,1899,91,0
2,0,london,Degree +,1963,28,0
3,0,london,Degree +,1965,26,0
4,1,london,GCSE/CSE/OLevel,1933,58,0
5,1,london,None,1937,54,0
6,0,london,Degree +,1934,57,0
7,0,london,GCSE/CSE/OLevel,1955,36,1
8,1,london,NA,1959,32,1
9,1,london,Degree +,1942,49,1
10,0,london,Degree +,1945,46,1
11,1,london,None,1932,59,0
12,0,london,None,1939,52,0
13,1,london,None,1941,50,0
14,0,london,GCSE/CSE/OLevel,1972,19,0
15,1,london,None,1953,38,0
16,0,london,GCSE/CSE/OLevel,1956,35,0
17,0,london,ALevel,1965,25,0
18,0,london,Degree +,1967,24,0
19,0,london,NA,1963,28,0
20,0,london,GCSE/CSE/OLevel,1961,30,0
21,0,london,Degree +,1967,24,0
22,1,london,GCSE/CSE/OLevel,1969,22,0
23,1,london,ALevel,1961,30,2
24,0,london,NA,1953,38,2
25,1,london,None,1953,38,1
26,1,london,None,1971,20,1
27,1,london,GCSE/CSE/OLevel,1973,18,1
28,0,london,None,1932,59,0
29,1,london,None,1921,70,0
30,0,london,None,1961,30,1
31,1,london,None,1962,29,1
32,0,london,NA,1944,47,1
33,1,london,None,1948,43,1
34,1,london,GCSE/CSE/OLevel,1970,21,1
35,1,london,Degree +,1972,19,1
36,1,london,None,1956,35,2
37,0,london,ALevel,1948,43,2
38,1,london,GCSE/CSE/OLevel,1969,22,1
39,1,london,GCSE/CSE/OLevel,1971,20,1
40,1,london,GCSE/CSE/OLevel,1974,17,1
41,1,london,GCSE/CSE/OLevel,1967,24,2
42,1,london,ALevel,1964,27,0
43,0,london,Degree +,1955,34,0
44,1,london,Degree +,1945,46,0
45,0,london,Degree +,1962,29,0
46,0,london,Degree +,1940,51,0
47,1,london,ALevel,1956,34,0
48,0,london,Degree +,1962,29,0
49,1,london,Degree +,1942,49,0
50,0,london,NA,1943,48,0
51,1,london,Degree +,1955,36,0
52,0,london,None,1921,70,0
53,0,london,None,1912,79,0
54,1,london,Degree +,1954,37,0
55,0,london,None,1934,56,0
56,0,london,None,1961,30,0
57,1,london,None,1962,29,0
58,1,london,None,1914,77,0
59,0,london,Degree +,1963,28,0
60,0,london,GCSE/CSE/OLevel,1966,25,0
61,1,london,Degree +,1965,26,0
62,0,london,ALevel,1930,61,0
63,0,london,NA,1942,49,2
64,1,london,None,1955,36,2
65,1,london,ALevel,1972,19,2
66,1,london,GCSE/CSE/OLevel,1948,43,1
67,0,london,GCSE/CSE/OLevel,1974,17,1
68,1,london,None,1919,72,0
69,0,london,None,1909,82,0
70,1,london,None,1916,75,0
71,0,london,None,1916,75,0
72,0,london,None,1942,49,1
73,1,london,None,1947,44,1
74,0,london,None,1942,49,0
75,1,london,GCSE/CSE/OLevel,1944,47,0
76,1,london,ALevel,1943,48,3
77,0,london,ALevel,1968,23,0
78,1,london,ALevel,1968,23,0
79,0,london,Degree +,1943,48,2
80,1,london,GCSE/CSE/OLevel,1945,46,2
81,0,london,Degree +,1954,37,0
82,0,london,None,1906,85,0
83,1,london,None,1919,72,0
84,0,london,None,1955,36,2
85,1,london,GCSE/CSE/OLevel,1959,32,2
86,0,london,None,1907,84,0
87,1,london,None,1908,83,0
88,0,london,None,1927,64,0
89,1,london,None,1931,60,0
90,1,london,Degree +,1958,33,0
91,0,london,None,1953,38,3
92,1,london,Degree +,1956,34,3
93,1,london,None,1905,86,0
94,1,london,None,1942,48,1
95,0,london,None,1946,45,1
96,1,london,None,1975,16,1
97,1,london,GCSE/CSE/OLevel,1942,49,2
98,0,london,ALevel,1969,21,2
99,0,london,None,1916,75,0
100,1,london,None,1920,71,0
101,0,london,Degree +,1945,46,0
102,1,london,GCSE/CSE/OLevel,1946,45,0
103,0,london,GCSE/CSE/OLevel,1969,21,0
104,0,london,None,1973,18,0
105,0,london,ALevel,1969,22,1
106,1,london,GCSE/CSE/OLevel,1966,25,2
107,1,london,None,1917,74,0
108,0,london,None,1928,63,0
109,1,london,None,1928,63,0
110,1,london,ALevel,1959,32,2
111,0,london,Degree +,1959,32,2
112,0,london,Degree +,1909,82,0
113,1,london,None,1915,76,0
114,0,london,None,1916,75,0
115,1,london,None,1916,74,0
116,1,london,GCSE/CSE/OLevel,1946,45,2
117,0,london,None,1950,41,2
118,1,london,GCSE/CSE/OLevel,1971,20,2
119,0,london,None,1935,56,0
120,1,london,GCSE/CSE/OLevel,1940,51,0
121,0,london,NA,1960,31,0
122,0,london,NA,1966,25,0
123,1,london,Degree +,1962,29,0
124,1,london,ALevel,1963,28,0
125,1,london,Degree +,1964,27,0
126,0,london,ALevel,1967,24,0
127,0,london,Degree +,1968,23,0
128,0,london,Degree +,1955,36,0
129,0,london,GCSE/CSE/OLevel,1941,50,0
130,1,london,None,1942,49,0
131,0,london,None,1968,23,0
132,0,london,GCSE/CSE/OLevel,1955,36,0
133,0,london,ALevel,1959,32,0
134,0,london,None,1923,68,0
135,1,london,GCSE/CSE/OLevel,1958,33,0
136,0,london,None,1960,30,0
137,1,london,None,1953,38,0
138,0,london,None,1914,77,0
139,1,london,None,1916,75,0
140,1,london,None,1964,26,2
141,0,london,GCSE/CSE/OLevel,1950,41,3
142,1,london,None,1954,37,3
143,0,london,Degree +,1963,28,0
144,1,london,Degree +,1967,24,0
145,1,london,Degree +,1952,39,1
146,1,london,None,1930,61,0
147,1,london,None,1944,47,0
148,0,london,None,1937,54,0
149,0,london,Degree +,1961,30,0
150,1,london,Degree +,1966,25,0
151,0,london,Degree +,1962,29,0
152,1,london,ALevel,1963,28,0
153,1,london,None,1952,39,0
154,1,london,None,1930,61,0
155,0,london,ALevel,1931,60,0
156,0,london,GCSE/CSE/OLevel,1963,27,0
157,0,london,Degree +,1943,48,0
158,1,london,NA,1967,24,0
159,0,london,NA,1933,58,0
160,1,london,GCSE/CSE/OLevel,1930,61,0
161,0,london,ALevel,1970,21,0
162,0,london,GCSE/CSE/OLevel,1938,53,0
163,1,london,GCSE/CSE/OLevel,1943,48,0
164,0,london,GCSE/CSE/OLevel,1974,17,0
165,0,london,GCSE/CSE/OLevel,1938,53,0
166,1,london,None,1942,49,0
167,0,london,ALevel,1957,34,1
168,1,london,GCSE/CSE/OLevel,1966,25,1
169,1,london,None,1937,54,0
170,0,london,GCSE/CSE/OLevel,1964,27,0
171,0,london,ALevel,1962,29,0
172,1,london,None,1927,64,0
173,1,london,GCSE/CSE/OLevel,1927,64,0
174,0,london,Degree +,1934,57,0
175,1,london,GCSE/CSE/OLevel,1943,48,0
176,1,london,None,1924,67,0
177,0,london,None,1911,80,0
178,0,london,None,1942,49,0
179,1,london,None,1968,22,2
180,0,london,None,1969,22,2
181,1,london,Degree +,1950,41,0
182,0,london,Degree +,1947,44,0
183,1,london,None,1956,35,0
184,0,london,GCSE/CSE/OLevel,1945,46,1
185,1,london,NA,1948,43,1
186,1,london,ALevel,1973,18,1
187,1,london,GCSE/CSE/OLevel,1961,30,0
188,0,london,Degree +,1962,29,0
189,0,london,ALevel,1955,36,1
190,1,london,ALevel,1956,35,1
191,1,london,Degree +,1948,43,0
192,0,london,None,1917,74,0
193,1,london,None,1925,65,0
194,0,london,Degree +,1952,39,0
195,1,london,GCSE/CSE/OLevel,1958,33,2
196,0,london,Degree +,1960,30,2
197,0,london,ALevel,1965,26,0
198,0,london,GCSE/CSE/OLevel,1963,28,0
199,0,london,None,1921,70,0
200,1,london,None,1918,73,0
201,0,london,ALevel,1954,36,0
202,0,london,None,1945,46,0
203,0,london,GCSE/CSE/OLevel,1957,34,1
204,1,london,GCSE/CSE/OLevel,1960,31,1
205,0,london,None,1954,37,1
206,1,london,GCSE/CSE/OLevel,1958,33,1
207,0,london,Degree +,1953,37,0
208,1,london,None,1965,26,0
209,1,london,Degree +,1959,32,0
210,0,london,Degree +,1959,32,0
211,0,london,NA,1953,38,2
212,1,london,Degree +,1958,33,2
213,1,london,ALevel,1936,55,0
214,0,london,NA,1955,36,0
215,0,london,Degree +,1967,24,0
216,1,london,GCSE/CSE/OLevel,1965,26,0
217,1,london,None,1960,31,0
218,0,london,None,1961,30,0
219,0,london,Degree +,1961,30,0
220,1,london,Degree +,1956,35,0
221,0,london,Degree +,1956,35,0
222,0,london,GCSE/CSE/OLevel,1969,22,0
223,1,london,None,1959,32,0
224,0,london,Degree +,1961,30,0
225,1,london,GCSE/CSE/OLevel,1963,28,0
226,1,london,Degree +,1965,26,0
227,0,london,ALevel,1964,27,0
228,0,london,ALevel,1967,24,0
229,1,london,ALevel,1956,35,0
230,0,london,Degree +,1927,64,0
231,1,london,GCSE/CSE/OLevel,1937,54,0
232,1,london,None,1915,76,0
233,1,london,None,1930,61,0
234,0,london,ALevel,1934,57,0
235,1,london,Degree +,1954,37,1
236,1,london,None,1947,44,1
237,0,london,Degree +,1952,39,0
238,0,london,Degree +,1963,28,0
239,0,london,Degree +,1955,36,1
240,1,london,None,1958,33,1
241,0,london,ALevel,1951,40,2
242,1,london,GCSE/CSE/OLevel,1953,38,2
243,0,london,GCSE/CSE/OLevel,1958,33,3
244,1,london,ALevel,1961,30,3
245,1,london,Degree +,1963,28,1
246,0,london,Degree +,1964,27,1
247,0,london,None,1963,28,0
248,0,london,GCSE/CSE/OLevel,1938,53,0
249,1,london,ALevel,1955,36,0
250,0,london,Degree +,1956,35,0
251,1,london,Degree +,1961,30,0
252,1,london,None,1903,88,0
253,0,london,None,1947,44,4
254,1,london,None,1959,32,4
255,0,london,ALevel,1962,29,1
256,1,london,GCSE/CSE/OLevel,1969,22,1
257,0,london,ALevel,1958,33,1
258,1,london,None,1936,54,0
259,0,london,None,1973,18,0
260,0,london,Degree +,1959,32,3
261,1,london,ALevel,1959,32,3
262,1,london,ALevel,1965,26,0
263,0,london,ALevel,1957,34,2
264,1,london,GCSE/CSE/OLevel,1959,32,2
265,0,london,GCSE/CSE/OLevel,1945,45,0
266,1,london,GCSE/CSE/OLevel,1970,21,0
267,0,london,ALevel,1946,45,3
268,1,london,None,1947,44,3
269,1,london,None,1930,61,0
270,0,london,None,1936,55,3
271,1,london,None,1947,44,3
272,0,london,GCSE/CSE/OLevel,1963,28,0
273,1,london,Degree +,1964,27,0
274,1,london,Degree +,1968,23,0
275,0,london,Degree +,1946,45,0
276,0,london,None,1926,65,0
277,1,london,ALevel,1966,25,0
278,0,london,Degree +,1959,32,0
279,1,london,Degree +,1962,29,0
280,1,london,GCSE/CSE/OLevel,1966,25,3
281,0,london,ALevel,1950,41,0
282,1,london,Degree +,1959,32,2
283,0,london,ALevel,1960,31,2
284,1,london,ALevel,1969,22,0
285,0,london,ALevel,1969,22,0
286,1,london,None,1931,60,0
287,0,london,NA,1961,30,0
288,0,london,Degree +,1958,33,0
289,1,london,None,1928,63,0
290,0,london,None,1939,52,0
291,1,london,None,1944,47,0
292,0,london,None,1973,18,0
293,0,london,None,1939,52,0
294,0,london,GCSE/CSE/OLevel,1965,26,0
295,0,london,None,1959,32,3
296,1,london,GCSE/CSE/OLevel,1962,29,3
297,0,london,GCSE/CSE/OLevel,1955,36,2
298,1,london,None,1961,30,2
299,1,london,None,1898,93,0
300,0,london,GCSE/CSE/OLevel,1936,55,0
301,1,london,None,1939,52,0
302,0,london,ALevel,1968,22,0
303,0,london,None,1966,25,0
304,0,london,None,1952,39,0
305,0,london,GCSE/CSE/OLevel,1918,73,0
306,1,london,None,1922,69,0
307,0,london,None,1935,56,0
308,1,london,None,1944,47,0
309,0,london,None,1962,29,0
310,1,london,GCSE/CSE/OLevel,1970,21,0
311,0,london,ALevel,1968,23,0
312,0,london,None,1916,75,0
313,1,london,GCSE/CSE/OLevel,1941,50,0
314,1,london,NA,1969,22,0
315,0,london,None,1952,39,4
316,1,london,None,1957,34,4
317,1,london,Degree +,1963,28,0
318,0,london,Degree +,1965,26,0
319,1,london,None,1925,66,0
320,1,london,None,1915,76,0
321,1,london,None,1954,37,2
322,0,london,None,1931,60,0
323,1,london,None,1951,40,2
324,0,london,GCSE/CSE/OLevel,1953,38,2
325,1,london,None,1912,79,0
326,0,london,None,1909,82,0
327,0,london,GCSE/CSE/OLevel,1973,18,0
328,1,london,GCSE/CSE/OLevel,1974,17,0
329,1,london,GCSE/CSE/OLevel,1973,18,0
330,0,london,None,1946,45,0
331,1,london,ALevel,1968,23,0
332,1,london,ALevel,1969,21,0
333,0,london,Degree +,1957,34,0
334,1,london,Degree +,1966,25,0
335,1,london,None,1943,48,0
336,0,london,None,1954,37,2
337,1,london,ALevel,1955,36,2
338,0,london,None,1940,51,0
339,1,london,None,1942,49,0
340,0,london,None,1928,63,0
341,1,london,None,1931,60,0
342,1,london,Degree +,1950,41,0
343,1,london,ALevel,1966,25,0
344,0,london,Degree +,1963,27,0
345,1,london,Degree +,1968,23,0
346,1,london,Degree +,1929,62,0
347,0,london,None,1939,51,1
348,1,london,None,1920,71,0
349,0,london,None,1960,31,2
350,1,london,GCSE/CSE/OLevel,1962,29,2
351,0,london,None,1951,40,0
352,1,london,None,1932,59,0
353,0,london,None,1929,62,0
354,0,london,NA,1964,27,0
355,0,london,None,1944,47,1
356,1,london,None,1947,43,1
357,0,london,ALevel,1973,18,1
358,0,london,ALevel,1944,47,2
359,1,london,Degree +,1946,45,2
360,0,london,GCSE/CSE/OLevel,1975,16,2
361,0,london,GCSE/CSE/OLevel,1939,52,0
362,1,london,None,1930,61,0
363,0,london,GCSE/CSE/OLevel,1969,22,0
364,1,london,Degree +,1962,29,0
365,1,london,None,1966,25,2
366,0,london,GCSE/CSE/OLevel,1959,32,1
367,1,london,Degree +,1961,30,1
368,1,london,None,1936,54,1
369,1,london,ALevel,1967,24,1
370,0,london,ALevel,1957,34,0
371,0,london,ALevel,1963,28,0
372,1,london,None,1965,26,1
373,0,london,None,1941,50,0
374,0,london,None,1934,57,0
375,1,london,None,1937,54,0
376,1,london,NA,1960,31,0
377,1,london,None,1956,35,3
378,1,london,None,1964,27,1
379,1,london,ALevel,1968,23,0
380,0,london,GCSE/CSE/OLevel,1968,23,0
381,0,london,None,1952,39,0
382,0,london,None,1908,83,0
383,1,london,None,1914,77,0
384,1,london,Degree +,1962,28,0
385,1,london,GCSE/CSE/OLevel,1964,27,1
386,1,london,GCSE/CSE/OLevel,1933,58,0
387,0,london,NA,1905,86,0
388,1,london,GCSE/CSE/OLevel,1954,37,0
389,0,london,Degree +,1965,26,0
390,1,london,Degree +,1965,26,0
391,1,london,ALevel,1966,25,0
392,1,london,ALevel,1967,24,0
393,1,london,Degree +,1967,24,0
394,0,london,None,1929,62,0
395,0,london,None,1919,72,0
396,1,london,None,1955,36,1
397,0,london,ALevel,1962,29,0
398,1,london,None,1959,32,1
399,0,london,None,1950,41,2
400,0,london,None,1932,59,0
401,1,london,None,1933,58,0
402,1,london,None,1932,59,0
403,1,london,GCSE/CSE/OLevel,1946,45,0
404,0,london,Degree +,1960,31,0
405,1,london,None,1907,83,0
406,1,london,GCSE/CSE/OLevel,1967,24,0
407,0,london,Degree +,1968,23,0
408,1,london,Degree +,1968,23,0
409,0,london,None,1929,62,0
410,1,london,None,1932,59,0
411,0,london,ALevel,1955,36,1
412,1,london,ALevel,1964,27,1
413,1,london,None,1925,66,0
414,1,london,ALevel,1971,20,0
415,0,london,ALevel,1973,18,0
416,0,london,ALevel,1973,18,0
417,1,london,ALevel,1973,18,0
418,0,london,Degree +,1966,25,0
419,0,london,Degree +,1967,24,0
420,0,london,Degree +,1912,79,0
421,1,london,Degree +,1914,77,0
422,1,london,GCSE/CSE/OLevel,1973,17,1
423,1,london,ALevel,1937,54,0
424,0,london,Degree +,1965,26,0
425,0,london,GCSE/CSE/OLevel,1955,36,0
426,1,london,GCSE/CSE/OLevel,1958,32,0
427,0,london,GCSE/CSE/OLevel,1963,28,0
428,1,london,GCSE/CSE/OLevel,1963,28,0
429,1,london,None,1926,65,0
430,0,london,Degree +,1966,25,0
431,1,london,Degree +,1966,25,0
432,1,london,Degree +,1966,25,0
433,1,london,GCSE/CSE/OLevel,1953,38,0
434,1,london,GCSE/CSE/OLevel,1975,16,0
435,0,london,Degree +,1934,57,0
436,1,london,NA,1904,87,0
437,1,london,GCSE/CSE/OLevel,1936,54,0
438,0,london,GCSE/CSE/OLevel,1951,40,2
439,1,london,Degree +,1944,46,2
440,0,london,Degree +,1917,73,0
441,1,london,GCSE/CSE/OLevel,1920,71,0
442,0,london,GCSE/CSE/OLevel,1942,49,0
443,1,london,GCSE/CSE/OLevel,1963,28,1
444,0,london,Degree +,1945,46,0
445,1,london,Degree +,1944,47,0
446,1,london,Degree +,1927,64,0
447,0,london,ALevel,1966,24,0
448,1,london,GCSE/CSE/OLevel,1968,23,0
449,1,london,None,1904,87,0
450,0,london,Degree +,1950,41,0
451,0,london,Degree +,1943,48,2
452,1,london,Degree +,1947,44,2
453,0,london,None,1907,84,0
454,1,london,None,1917,74,0
455,0,london,GCSE/CSE/OLevel,1939,52,0
456,1,london,None,1941,50,0
457,0,london,NA,1924,67,0
458,1,london,Degree +,1933,58,0
459,1,london,Degree +,1957,34,0
460,0,london,None,1940,51,0
461,1,london,None,1941,50,0
462,1,london,GCSE/CSE/OLevel,1974,17,0
463,1,london,None,1925,66,0
464,1,london,ALevel,1941,50,0
465,0,london,GCSE/CSE/OLevel,1964,27,0
466,1,london,None,1967,24,0
467,1,london,Degree +,1950,41,4
468,1,london,None,1959,32,3
469,0,london,NA,1958,33,3
470,0,london,GCSE/CSE/OLevel,1935,56,2
471,1,london,ALevel,1943,48,2
472,0,london,None,1944,47,0
473,1,london,None,1946,45,0
474,1,london,Degree +,1931,60,0
475,0,london,Degree +,1911,80,0
476,1,london,GCSE/CSE/OLevel,1944,47,2
477,0,london,ALevel,1952,39,2
478,1,london,None,1913,78,0
479,0,london,GCSE/CSE/OLevel,1912,79,0
480,0,london,Degree +,1946,45,2
481,1,london,Degree +,1952,39,2
482,0,london,ALevel,1952,39,2
483,1,london,GCSE/CSE/OLevel,1955,35,2
484,1,london,None,1926,65,0
485,0,london,GCSE/CSE/OLevel,1929,62,0
486,0,london,Degree +,1951,40,0
487,1,london,Degree +,1966,25,0
488,0,london,ALevel,1969,22,0
489,1,london,Degree +,1969,22,0
490,1,london,ALevel,1972,19,0
491,0,london,Degree +,1954,37,2
492,1,london,Degree +,1955,35,2
493,1,london,GCSE/CSE/OLevel,1971,20,2
494,0,london,GCSE/CSE/OLevel,1939,52,0
495,1,london,ALevel,1942,49,0
496,1,london,Degree +,1969,22,0
497,0,london,GCSE/CSE/OLevel,1967,24,0
498,0,london,None,1909,82,0
499,1,london,None,1926,65,0
500,0,london,None,1908,83,0
501,1,london,None,1908,83,0
502,0,london,Degree +,1947,44,1
503,1,london,None,1945,46,1
504,0,london,None,1961,30,0
505,1,london,NA,1961,30,0
506,1,london,Degree +,1938,53,0
507,0,london,None,1913,78,0
508,1,london,None,1915,76,0
509,0,london,None,1926,65,0
510,0,london,Degree +,1963,28,0
511,1,london,None,1936,55,0
512,0,london,NA,1966,25,0
513,0,london,ALevel,1962,29,0
514,0,london,Degree +,1947,44,0
515,1,london,GCSE/CSE/OLevel,1935,56,0
516,1,london,None,1902,89,0
517,0,london,None,1934,57,0
518,1,london,GCSE/CSE/OLevel,1942,49,0
519,1,london,GCSE/CSE/OLevel,1969,22,0
520,1,london,GCSE/CSE/OLevel,1971,20,0
521,0,london,GCSE/CSE/OLevel,1940,51,1
522,1,london,None,1941,50,1
523,1,london,ALevel,1965,26,1
524,0,london,Degree +,1967,24,1
525,0,london,Degree +,1968,23,1
526,0,london,Degree +,1965,26,1
527,0,london,None,1940,51,0
528,1,london,None,1943,48,0
529,0,london,None,1967,23,0
530,0,london,ALevel,1922,69,0
531,1,london,None,1925,66,0
532,0,london,ALevel,1965,26,0
533,0,london,GCSE/CSE/OLevel,1920,71,0
534,1,london,ALevel,1922,69,0
535,0,london,GCSE/CSE/OLevel,1945,46,0
536,1,london,None,1945,46,0
537,0,london,GCSE/CSE/OLevel,1973,18,0
538,1,london,NA,1968,23,0
539,0,london,GCSE/CSE/OLevel,1956,35,2
540,1,london,GCSE/CSE/OLevel,1959,31,2
541,0,london,Degree +,1949,42,2
542,1,london,ALevel,1948,43,2
543,0,london,None,1915,75,0
544,1,london,None,1910,80,0
545,0,london,Degree +,1941,50,0
546,1,london,GCSE/CSE/OLevel,1942,49,0
547,0,london,GCSE/CSE/OLevel,1974,17,0
548,1,london,GCSE/CSE/OLevel,1943,48,0
549,1,london,None,1949,42,0
550,0,london,None,1947,44,0
551,0,london,GCSE/CSE/OLevel,1941,50,0
552,1,london,None,1942,49,0
553,0,london,ALevel,1939,52,0
554,1,london,ALevel,1938,53,0
555,0,london,None,1938,53,0
556,1,london,None,1908,83,0
557,0,london,GCSE/CSE/OLevel,1944,47,0
558,1,london,None,1944,47,0
559,0,london,GCSE/CSE/OLevel,1969,22,0
560,0,london,ALevel,1971,20,0
561,0,london,ALevel,1973,18,0
562,1,london,GCSE/CSE/OLevel,1937,53,0
563,0,london,GCSE/CSE/OLevel,1936,55,1
564,1,london,NA,1938,52,1
565,1,london,GCSE/CSE/OLevel,1969,22,1
566,0,london,ALevel,1971,20,1
567,0,london,Degree +,1964,27,1
568,0,london,None,1939,52,0
569,1,london,ALevel,1970,21,0
570,0,london,ALevel,1973,18,0
571,1,london,None,1919,72,0
572,0,london,GCSE/CSE/OLevel,1921,70,0
573,0,london,None,1940,51,0
574,1,london,None,1944,47,0
575,1,london,GCSE/CSE/OLevel,1937,54,0
576,0,london,ALevel,1972,19,0
577,1,london,Degree +,1932,59,0
578,1,london,ALevel,1972,19,0
579,1,london,None,1917,74,0
580,1,london,GCSE/CSE/OLevel,1936,55,0
581,0,london,GCSE/CSE/OLevel,1969,22,0
582,0,london,ALevel,1970,21,0
583,0,london,GCSE/CSE/OLevel,1972,19,0
584,1,london,Degree +,1912,79,0
585,0,london,GCSE/CSE/OLevel,1917,74,0
586,0,london,Degree +,1953,38,0
587,1,london,None,1931,60,0
588,0,london,None,1951,40,0
589,0,london,None,1948,42,1
590,1,london,GCSE/CSE/OLevel,1951,40,1
591,0,london,GCSE/CSE/OLevel,1973,18,1
592,0,london,GCSE/CSE/OLevel,1975,16,1
593,0,london,ALevel,1971,20,0
594,1,london,ALevel,1972,19,0
595,0,london,ALevel,1972,19,0
596,1,london,GCSE/CSE/OLevel,1965,26,0
597,0,london,ALevel,1965,26,0
598,1,london,GCSE/CSE/OLevel,1958,33,2
599,0,london,None,1937,54,0
600,1,london,None,1936,55,0
601,0,london,ALevel,1962,29,0
602,0,london,None,1910,81,0
603,1,london,None,1906,85,0
604,0,london,None,1948,43,0
605,0,london,GCSE/CSE/OLevel,1948,43,0
606,0,london,None,1960,30,4
607,1,london,GCSE/CSE/OLevel,1962,29,4
608,0,london,None,1951,40,1
609,1,london,None,1949,42,1
610,1,london,GCSE/CSE/OLevel,1974,17,1
611,1,london,None,1923,67,0
612,0,london,ALevel,1958,33,0
613,0,london,Degree +,1962,29,0
614,1,london,Degree +,1963,28,0
615,1,london,ALevel,1965,26,0
616,1,london,None,1928,63,0
617,1,london,GCSE/CSE/OLevel,1953,38,0
618,0,london,Degree +,1955,36,0
619,0,london,None,1908,83,0
620,1,london,None,1911,80,0
621,1,london,ALevel,1942,49,0
622,1,london,GCSE/CSE/OLevel,1950,41,0
623,1,london,None,1924,67,0
624,0,london,None,1952,39,3
625,1,london,None,1956,35,3
626,1,london,None,1927,64,3
627,1,london,GCSE/CSE/OLevel,1938,52,0
628,0,london,GCSE/CSE/OLevel,1939,52,0
629,0,london,GCSE/CSE/OLevel,1970,21,0
630,0,london,None,1917,74,0
631,1,london,ALevel,1968,23,0
632,0,london,GCSE/CSE/OLevel,1948,43,2
633,1,london,GCSE/CSE/OLevel,1949,42,2
634,0,london,GCSE/CSE/OLevel,1934,57,0
635,1,london,Degree +,1935,56,0
636,0,london,Degree +,1948,43,3
637,1,london,None,1950,41,3
638,0,london,GCSE/CSE/OLevel,1975,16,3
639,0,london,Degree +,1947,44,0
640,0,london,None,1914,77,0
641,1,london,None,1919,72,0
642,0,london,None,1951,40,2
643,1,london,None,1955,36,2
644,1,london,GCSE/CSE/OLevel,1975,16,2
645,0,london,Degree +,1964,27,0
646,1,london,Degree +,1966,25,0
647,1,london,ALevel,1955,36,0
648,0,london,GCSE/CSE/OLevel,1960,31,0
649,1,london,None,1949,42,0
650,0,london,None,1952,39,2
651,1,london,GCSE/CSE/OLevel,1958,33,2
652,1,london,None,1901,90,0
653,0,london,None,1921,70,0
654,0,london,NA,1942,49,0
655,1,london,GCSE/CSE/OLevel,1944,47,0
656,0,london,None,1972,18,0
657,1,london,GCSE/CSE/OLevel,1968,23,0
658,0,london,ALevel,1957,34,1
659,1,london,Degree +,1965,26,1
660,0,london,GCSE/CSE/OLevel,1962,29,0
661,1,london,GCSE/CSE/OLevel,1964,27,0
662,0,london,GCSE/CSE/OLevel,1949,42,0
663,0,london,GCSE/CSE/OLevel,1941,50,1
664,1,london,None,1945,46,1
665,0,london,GCSE/CSE/OLevel,1974,17,1
666,0,london,None,1947,44,0
667,1,london,GCSE/CSE/OLevel,1948,42,0
668,1,london,GCSE/CSE/OLevel,1974,17,0
669,1,london,None,1957,34,0
670,0,london,Degree +,1959,32,0
671,0,london,GCSE/CSE/OLevel,1959,31,3
672,1,london,GCSE/CSE/OLevel,1962,29,3
673,0,london,ALevel,1961,30,0
674,1,london,GCSE/CSE/OLevel,1960,31,0
675,1,london,None,1937,54,0
676,0,london,NA,1965,26,0
677,0,london,None,1914,77,0
678,1,london,None,1914,77,0
679,0,london,None,1942,49,0
680,1,london,None,1943,48,0
681,0,london,None,1937,54,0
682,1,london,None,1940,51,0
683,0,london,Degree +,1965,26,0
684,0,london,None,1929,62,0
685,1,london,None,1929,62,0
686,1,london,None,1906,85,0
687,1,london,None,1940,51,0
688,0,london,None,1946,44,1
689,1,london,None,1950,41,1
690,0,london,None,1947,44,0
691,1,london,GCSE/CSE/OLevel,1949,42,0
692,0,london,GCSE/CSE/OLevel,1975,16,0
693,0,london,NA,1955,36,4
694,1,london,None,1960,31,4
695,0,london,None,1918,73,0
696,1,london,None,1930,61,0
697,0,london,NA,1940,51,0
698,1,london,None,1941,50,0
699,1,london,NA,1966,25,0
700,1,london,GCSE/CSE/OLevel,1939,52,0
701,0,london,None,1941,50,0
702,0,london,NA,1969,22,0
703,1,london,NA,1971,20,0
704,0,london,GCSE/CSE/OLevel,1939,52,0
705,1,london,None,1945,46,0
706,0,london,NA,1970,20,0
707,0,london,GCSE/CSE/OLevel,1935,55,0
708,1,london,None,1939,52,0
709,1,london,ALevel,1972,19,0
710,0,london,ALevel,1956,35,2
711,1,london,None,1958,33,2
712,1,london,Degree +,1925,66,0
713,0,london,ALevel,1956,35,2
714,1,london,GCSE/CSE/OLevel,1959,32,2
715,1,london,None,1919,72,0
716,0,london,None,1942,49,0
717,0,london,None,1924,67,0
718,1,london,None,1921,70,0
719,0,london,None,1950,41,3
720,1,london,None,1954,36,3
721,1,london,None,1914,77,0
722,1,london,NA,1900,91,0
723,0,london,None,1930,61,0
724,1,london,None,1934,57,0
725,1,london,Degree +,1934,57,0
726,0,london,ALevel,1964,27,0
727,0,london,GCSE/CSE/OLevel,1968,23,0
728,0,london,GCSE/CSE/OLevel,1957,34,1
729,1,london,NA,1959,32,1
730,0,london,ALevel,1958,33,1
731,1,london,GCSE/CSE/OLevel,1959,31,1
732,0,london,ALevel,1960,31,0
733,1,london,GCSE/CSE/OLevel,1909,82,0
734,0,london,None,1962,29,4
735,1,london,None,1965,26,4
736,1,london,GCSE/CSE/OLevel,1944,47,1
737,0,london,Degree +,1945,46,1
738,0,london,GCSE/CSE/OLevel,1975,16,1
739,1,london,ALevel,1947,44,1
