id,female,region,academic_qual,dob,age,numchild
7715,1,yorkshire & humber,GCSE/CSE/OLevel,1960,31,0
7716,1,yorkshire & humber,None,1917,74,0
7717,1,yorkshire & humber,GCSE/CSE/OLevel,1957,34,0
7718,0,yorkshire & humber,GCSE/CSE/OLevel,1964,27,0
7719,1,yorkshire & humber,None,1928,62,0
7720,0,yorkshire & humber,GCSE/CSE/OLevel,1968,23,0
7721,1,yorkshire & humber,GCSE/CSE/OLevel,1963,28,0
7722,0,yorkshire & humber,GCSE/CSE/OLevel,1969,22,0
7723,1,yorkshire & humber,GCSE/CSE/OLevel,1972,19,0
7724,0,yorkshire & humber,None,1965,26,0
7725,1,yorkshire & humber,ALevel,1967,24,0
7726,0,yorkshire & humber,NA,1954,37,2
7727,1,yorkshire & humber,None,1955,36,2
7728,0,yorkshire & humber,GCSE/CSE/OLevel,1919,72,0
7729,1,yorkshire & humber,NA,1899,92,0
7730,1,yorkshire & humber,None,1937,54,0
7731,0,yorkshire & humber,None,1944,47,0
7732,1,yorkshire & humber,None,1944,47,0
7733,0,yorkshire & humber,ALevel,1952,39,2
7734,1,yorkshire & humber,GCSE/CSE/OLevel,1953,38,2
7735,1,yorkshire & humber,None,1967,24,2
7736,0,yorkshire & humber,None,1926,65,0
7737,0,yorkshire & humber,None,1935,56,1
7738,1,yorkshire & humber,None,1937,54,1
7739,0,yorkshire & humber,GCSE/CSE/OLevel,1964,27,1
7740,1,yorkshire & humber,None,1962,29,2
7741,0,yorkshire & humber,None,1941,50,0
7742,1,yorkshire & humber,None,1943,47,0
7743,0,yorkshire & humber,None,1945,46,0
7744,1,yorkshire & humber,GCSE/CSE/OLevel,1973,18,0
7745,1,yorkshire & humber,None,1918,73,0
7746,0,yorkshire & humber,ALevel,1958,33,2
7747,1,yorkshire & humber,ALevel,1961,30,2
7748,1,yorkshire & humber,None,1939,52,0
7749,0,yorkshire & humber,None,1932,59,0
7750,0,yorkshire & humber,None,1938,53,0
7751,1,yorkshire & humber,None,1931,60,0
7752,0,yorkshire & humber,None,1960,31,0
7753,0,yorkshire & humber,None,1936,55,1
7754,1,yorkshire & humber,GCSE/CSE/OLevel,1951,40,1
7755,1,yorkshire & humber,None,1963,28,2
7756,0,yorkshire & humber,None,1931,60,0
7757,1,yorkshire & humber,None,1934,57,0
7758,0,yorkshire & humber,None,1965,26,0
7759,1,yorkshire & humber,GCSE/CSE/OLevel,1968,23,0
7760,0,yorkshire & humber,ALevel,1971,20,0
7761,1,yorkshire & humber,None,1936,55,0
7762,0,yorkshire & humber,None,1937,53,0
7763,1,yorkshire & humber,None,1913,78,0
7764,1,yorkshire & humber,None,1914,77,0
7765,1,yorkshire & humber,None,1916,75,0
7766,0,yorkshire & humber,Degree +,1965,26,0
7767,1,yorkshire & humber,ALevel,1972,19,0
7768,0,yorkshire & humber,ALevel,1968,23,0
7769,1,yorkshire & humber,ALevel,1971,20,0
7770,0,yorkshire & humber,None,1934,57,0
7771,1,yorkshire & humber,None,1937,54,0
7772,1,yorkshire & humber,NA,1942,44,0
7773,1,yorkshire & humber,None,1918,73,0
7774,0,yorkshire & humber,GCSE/CSE/OLevel,1949,42,0
7775,1,yorkshire & humber,GCSE/CSE/OLevel,1960,31,0
7776,1,yorkshire & humber,GCSE/CSE/OLevel,1945,46,1
7777,0,yorkshire & humber,ALevel,1970,21,1
7778,0,yorkshire & humber,None,1928,63,0
7779,1,yorkshire & humber,None,1959,32,3
7780,0,yorkshire & humber,GCSE/CSE/OLevel,1964,27,3
7781,1,yorkshire & humber,None,1924,67,0
7782,1,yorkshire & humber,Degree +,1959,32,2
7783,0,yorkshire & humber,GCSE/CSE/OLevel,1962,28,2
7784,0,yorkshire & humber,Degree +,1965,26,0
7785,1,yorkshire & humber,Degree +,1965,26,0
7786,1,yorkshire & humber,None,1934,57,0
7787,1,yorkshire & humber,None,1945,46,0
7788,1,yorkshire & humber,GCSE/CSE/OLevel,1970,21,0
7789,1,yorkshire & humber,None,1919,72,0
7790,0,north west,GCSE/CSE/OLevel,1923,68,0
7791,1,north west,None,1926,65,0
7792,1,yorkshire & humber,None,1926,65,0
7793,0,yorkshire & humber,GCSE/CSE/OLevel,1937,54,0
7794,1,yorkshire & humber,None,1940,51,0
7795,0,yorkshire & humber,ALevel,1952,39,0
7796,1,yorkshire & humber,GCSE/CSE/OLevel,1957,34,0
7797,1,yorkshire & humber,None,1942,49,0
7798,0,yorkshire & humber,ALevel,1956,35,1
7799,1,yorkshire & humber,Degree +,1958,33,1
7800,0,yorkshire & humber,None,1911,80,0
7801,0,yorkshire & humber,GCSE/CSE/OLevel,1941,50,0
7802,1,yorkshire & humber,ALevel,1951,40,0
7803,1,yorkshire & humber,None,1928,63,0
7804,0,yorkshire & humber,GCSE/CSE/OLevel,1932,59,0
7805,0,yorkshire & humber,Degree +,1939,52,1
7806,1,yorkshire & humber,Degree +,1942,49,1
7807,0,yorkshire & humber,Degree +,1962,29,1
7808,1,yorkshire & humber,Degree +,1965,26,1
7809,1,yorkshire & humber,None,1921,70,0
7810,1,yorkshire & humber,None,1924,67,0
7811,0,yorkshire & humber,None,1927,64,0
7812,1,yorkshire & humber,None,1945,46,0
7813,1,yorkshire & humber,ALevel,1938,52,0
7814,0,yorkshire & humber,None,1908,83,0
7815,0,yorkshire & humber,Degree +,1931,60,0
7816,1,yorkshire & humber,Degree +,1931,60,0
7817,1,yorkshire & humber,None,1913,78,0
7818,1,yorkshire & humber,None,1915,76,0
7819,1,yorkshire & humber,Degree +,1920,71,0
7820,0,yorkshire & humber,None,1926,65,0
7821,1,yorkshire & humber,None,1928,63,0
7822,1,yorkshire & humber,ALevel,1923,68,0
7823,0,yorkshire & humber,GCSE/CSE/OLevel,1972,19,0
7824,1,yorkshire & humber,ALevel,1974,17,0
7825,1,yorkshire & humber,ALevel,1953,38,0
7826,0,yorkshire & humber,None,1973,18,1
7827,1,yorkshire & humber,GCSE/CSE/OLevel,1973,18,1
7828,1,yorkshire & humber,None,1935,56,0
7829,1,yorkshire & humber,None,1934,57,0
7830,1,yorkshire & humber,None,1916,74,0
7831,1,yorkshire & humber,Degree +,1965,26,0
7832,1,yorkshire & humber,GCSE/CSE/OLevel,1964,27,0
